lg_code,prefecture_code,xmin,ymin,xmax,ymax
01578,01,141.08521306143382,42.45162210787413,141.42477111519497,42.71383722460837
01581,01,141.77664893579993,42.58264072059296,142.11232083014238,42.87406722482274
01584,01,140.72569805412206,42.52038887424732,140.9717577819962,42.69948333338931
01585,01,141.7365605584232,42.69681277498972,141.9544205578626,42.92204666662053
01586,01,141.87680789886565,42.52851326057868,142.33399610893343,42.98713222457269
01601,01,141.966940103703,42.42119861322561,142.78779944169105,43.00980333295763
01602,01,142.04709138785745,42.521532775017704,142.69505221788575,42.89148277521008
01604,01,142.2222449287607,42.345013386958385,142.76406027236385,42.73865417115326
01607,01,142.64895916973012,42.13601472060304,143.11702917026014,42.466948613188094
01608,01,142.86380500589644,42.061024170829,143.20307583688054,42.26024583777536
01609,01,143.06785583707745,41.92504527901656,143.32609944243552,42.1910444407485
01610,01,142.33454370882532,42.20893610841483,142.89097500609182,42.66747138689516
01631,01,143.04040333284775,42.92493250473149,143.37507749682925,43.16650666694926
01632,01,143.09961221782976,43.07783083772313,143.41576082969868,43.2495147213275
01633,01,143.00854416318282,43.18758750505947,143.4120894418744,43.59537638681098
01634,01,142.92254749706956,43.010953054140316,143.1504758366907,43.39643722479826
01635,01,142.67179999997018,43.0127108384346,143.04546138803278,43.570003332787735
01636,01,142.74086555080476,42.838895279193935,143.02424610937067,43.12043833306279
01637,01,142.71643805387328,42.72206000036891,143.14747805366937,43.03476055935249
01638,01,142.75146333266684,42.56020055900876,143.19690885915668,42.73259499965968
01639,01,143.04053722391393,42.57009238655456,143.3041938909355,42.725561107858994
01641,01,142.82512221761647,42.37152499977907,143.52415666719662,42.67699055876744
01642,01,142.99983972762152,42.160040000246,143.38907150544583,42.44670889210187
01643,01,143.20334344994046,42.50926417060515,143.4526105577312,42.942851667370746
01644,01,143.32004194637886,42.87384944139876,143.59103944201684,43.11544166739918
01645,01,143.32805999956952,42.57346889207588,143.69075277572017,42.893952225415035
01646,01,143.38856138839753,43.05671555917587,143.79341944165412,43.24455417063865
01647,01,143.2112408303003,43.188710278956364,144.02976861203194,43.559293332621394
01648,01,143.45631333279425,43.34623472095575,143.9496050062662,43.640479721162365
01649,01,143.5490127756193,42.69831583800567,143.86934610923572,43.16440583805917
01661,01,144.39718666723104,42.93247270315288,144.7851217773483,43.11861750539373
01662,01,144.56983082982913,42.94670166684864,145.00795433162727,43.35168055931052
01663,01,144.91243527856545,42.991169721005974,145.32622805408164,43.26080722497363
01664,01,144.23768167257128,43.022090838421605,144.816835005931,43.577229720875096
01665,01,144.21748917038906,43.38838777537569,144.59492194639085,43.704938054148045
01667,01,144.12796527867488,43.072612505363,144.45123639434428,43.45376333321144
01668,01,143.7547386120974,42.9206533775515,144.22857147909065,43.37522610819849
01691,01,144.63849805384234,43.21495472118363,145.39090942882729,43.61508083771065
01692,01,144.57063138832814,43.46165833306577,145.1134450063821,43.702075558840136
01693,01,144.72020221805815,43.56377777502445,145.24557555077126,43.90237110804037
01694,01,144.87676055795362,43.85970833317322,145.36660778212365,44.34131250456858
01695,01,146.58499844432288,43.7015717208584,146.91966533099037,43.890341252047335
01696,01,145.39868124494365,43.652818279340295,145.8907258501181,44.11672205358008
01697,01,145.74251243819867,44.063834035612444,146.57386591388104,44.51682783823429
01698,01,146.8581297281047,44.42580202744176,147.9170279771596,45.173434531878286
01699,01,147.72132372241208,44.96964261281647,148.36597587468702,45.43802202689517
01700,01,148.34197997409672,45.22726081073802,148.8928186636506,45.556046505342124
02201,02,140.5202386903635,40.60592169383125,140.98094367141346,40.9702237483275
02202,02,140.15476700369447,40.46754769427082,140.59814922190924,40.76142094621986
02203,02,141.35472442289392,40.34797261284598,141.64652383910402,40.60346712560755
02204,02,140.564837639046,40.5347471347726,140.84426710804075,40.69188674787529
02205,02,140.30586814499907,40.72968900004747,140.5921018935877,41.12761374797623
02206,02,140.85144924768485,40.42110599964235,141.3036696369444,40.70167202734234
02207,02,141.31009632898258,40.66098580225315,141.4394878855577,40.88662326105481
02208,02,140.7641976648905,41.1276533604144,141.33897041495288,41.4557839726524
02209,02,140.2499330872423,40.75710010758405,140.43788311301546,41.012064801849306
02210,02,140.50891302241826,40.402335531559686,140.88006150503463,40.63095433287634
02301,02,140.83849610900836,40.80618427928124,141.0841249546031,41.0173426936106
02303,02,140.40685907898353,41.10238941394044,140.60337741893295,41.22856272139262
02304,02,140.5157744233511,40.94812177500006,140.6607922310768,41.036606224897525
02307,02,140.33893418866205,41.02220117124722,140.64675168614156,41.261422278915234
02321,02,140.068345836891,40.43501138726589,140.33713124491123,40.8004672791418
02323,02,139.86008152993884,40.419881918915564,140.16636481188675,40.76921825182103
02343,02,140.1195488068322,40.43114550486132,140.34780847018487,40.61601077507737
02361,02,140.4607808037913,40.64126083781758,140.578373579777,40.721957026595646
02362,02,140.43321494181635,40.39705933322182,140.67892061019813,40.55001299970036
02367,02,140.49705730215294,40.615240198176764,140.58207647175198,40.674428360080924
02381,02,140.42654574578967,40.666167837975536,140.5282454732502,40.7594662517663
02384,02,140.3396224119449,40.72200908115434,140.5014348115675,40.789817027234164
02387,02,140.24798822327807,40.91934322491005,140.52202747069134,41.24899283794929
02401,02,141.03940072586295,40.83027833277902,141.2582012839623,40.972006279266566
02402,02,140.9012338392704,40.63312222511075,141.27151719836024,40.81660627875692
02405,02,141.25705136223075,40.56272241400836,141.3805265497606,40.70065589235571
02406,02,141.22098718481095,40.96935736035408,141.3530761085757,41.1578302519647
02408,02,141.00670413718638,40.66448950518668,141.3679681064432,40.931614531785385
02411,02,141.23245364521972,40.83157886487288,141.40125872880742,41.132374423441036
02412,02,141.34382347597284,40.58089422498864,141.4629945909278,40.673924774808654
02423,02,140.88216452737117,41.42105977518867,140.9675935018388,41.55593453155353
02424,02,141.226047392973,41.106439332709215,141.4685394680222,41.431208441016906
02425,02,140.93388856000922,41.42075400029705,141.11568808004108,41.529469467642
02426,02,140.77828455279007,41.21013574756688,140.9403674190213,41.46866686528375
02441,02,140.98140374838442,40.30478764033751,141.31709778223706,40.42181080192711
02442,02,141.17541272441792,40.41912533276803,141.42441247725424,40.58725369360326
02443,02,140.9439737220098,40.217918198366306,141.1833566150159,40.39637044084333
02445,02,141.21101632934028,40.33107297293952,141.4534957464317,40.5042463056227
02446,02,141.51877055771524,40.3586576667181,141.68259082960333,40.479574251550616
02450,02,140.9797016986746,40.40093177528138,141.23782966290878,40.49866580188541
03201,03,140.99575111502213,39.56373272068868,141.52747797722702,39.93017630559217
03202,03,141.33690616059107,39.43899013478705,142.0719063289141,39.8306877394478
03203,03,141.6166949680985,38.98576015310874,141.92152186813985,39.20324569373395
03205,03,140.8787735535568,39.26036422512908,141.49574880726186,39.5769692519296
03206,03,140.81701994781247,39.17441144143504,141.2539857460455,39.48121594615918
03207,03,141.45643416340613,40.00856477464481,141.8761893388671,40.2958645858821
03208,03,141.29964622569298,39.192304279119355,141.7464157718706,39.558349333055446
03209,03,140.7638989110061,38.74765138720193,141.49396338500242,39.162121891812035
